,id,coin,name,type,algorithm,network_hashrate,difficulty,reward,reward_unit,reward_block,price,volume,updated
103,52bbbfcd19d80f7a2b792b74d44e5535e2a5d40c,EGEM,EtherGem,coin,Ethash,8362092297.0,97803031511.0,9.2021687476914e-09,EGEM,0.25,0.0011681060232615,59.193011006839,1690131252
104,7995c3996665afa7d3e0138f51aa68f50b22dac3,ELA,Elastos,coin,SHA-256,295102413010.88,8325455566991.1,8.2442572874354e-20,ELA,0.81887366538,1.2824228268854,265627.48408726,1690131261
105,f78155a29b7e0e14cf730fe74b7a5ff7f3b9ea37,ELH,Elhereum,coin,Ethash,12038312170980.0,242119105090.0,6.9237850259058e-18,ELH,2.0,0.0065790617985226,,1690131267
106,17e3ae05c639de9c018653e25b02f44a610e5cf4,EPIC,Epic Cash,coin,RandomX,22054147.0,1351299627.0,4.8550594323519e-06,EPIC,1.8224,0.45634696791529,9932.2342649875,1690131263
107,6e9fedf022a2f5575975725e3f92dfd426688cac,ERG,Ergo,coin,Autolykos2,20094368124959.0,2295904832847872.0,5.6448332764404e-11,ERG,36.0,1.1780625100506,174318.68724469,1690131267
108,d5f0809ea3dce77168e2642a5c8e04cbe69d6c11,ESN,EscudoNavacense,coin,Ethash,15481296.185465,100711714579.0,1.787279670021e-07,ESN,5.0,0.00019101,,1690131263
109,d0fe70aab1f465109a7b4d18c17f6a99e3aafb13,ETC,Ethereum Classic,coin,Etchash,138078002764318.0,1891599598869777.0,4.8720670090576e-12,ETC,2.56,18.729906258999,146403109.85411,1690131268
110,5d55e24ca2c72eb897586fd40a753816a4241df2,ETF,EthereumFair,coin,Ethash,312470000000.0,4062162499386.0,8.8622747133925e-10,ETF,1.0,0.092507,756405.0,1690131262
111,2a3d8172d8c8acb50b5d1df8b74b7282a7ff91d3,ETHO,Etho Protocol,coin,Ethash,-1.0,138314361997.0,7.8082997629951e-09,ETHO,0.3,0.016128533630748,328790.98404811,1690131268
112,a15483b83fbdb620029dd6c9479899e1fd00aa36,ETHW,Ethereum PoW,coin,Ethash,-1.0,140431542281729.0,5.127053283767e-11,ETHW,2.0,1.8122488374523,1036444.314006,1690131262
113,e26b88ed34eca1eac5fad8d43f3c434c5c0d7f1f,ETP,ETP,coin,Ethash,11796906625.615,302213153935.0,1.3107106558479e-08,ETP,1.10031667,0.0,,1690131277
114,16c8dc42aea188a2aa2d271a6a1c9bbe4ac32714,EVR,ENEFTIVERSE,coin,EvrProgPow,44289549901.122,642.03024323113,3.2640883401404e-06,EVR,2500.2,0.0,,1690131262
115,c82254b2e0eed9a8ed1c2e06b8d834f918c36e3c,EXCC,ExchangeCoin,coin,"Equihash(144,5)",4.05875266,49729.1886122,0.0045909624406981,EXCC,21246.824467978,0.0060344328561817,58158.840645948,1681568308
116,3be98e281e310d9389ec619868626378e7f06232,EXP,Expanse,coin,Ethash,13731482417.319,315549465950.0,4.5634683477112e-08,EXP,4.0,0.00269587,64.44,1690131263
133,6e7d9436583517131fdd70c1d9365d894b81b8b5,FIRO,Firo,coin,FiroPoW,107365941744.09,5724.81060373,2.287713011326e-10,FIRO,1.5625,1.7164572415191,260490.61205188,1690131283
136,02c552e460e491341132b4f230cdc544b2128642,FLORA,Florachain Token,coin,Ethash,71849405006.259,1056186253592.0,1.704244865788e-08,FLORA,5.0,0.0031632038202429,,1690131263
137,c77d945a9f927d778c77d5d6c630c9410c0e2c71,FLUX,FLUX,coin,"Equihash(125,4)",2323589.2313506,33795.856557059,0.00024380935810396,FLUX,18.75,0.41675165497588,2098018.580686,1690131273
139,01ebc9df69ea208fb6e538b508dc7aacd1a4266e,FROG,Frog Coin,coin,BMW512,13926000000.0,13581388.044864,9.2574151594643e-12,FROG,150.0,0.041439357419506,,1690131274
141,92dafb8f3d8cf192728c2c0b643bccd8991cc7eb,FTC,Feathercoin,coin,NeoScrypt,1331649700.2618,19.373402819237,8.6530004560855e-07,FTC,20.0,0.003114949395364,11547.030190031,1690131272
142,c7e2cacd5b9d6b9ca0b655f359141536b8746daf,GAP,Gapcoin,coin,GapSearch,681909093.49263,21.849835628284,5.2386894178886e-08,GAP,1.36561471,0.0053014042594176,1.1028139048598,1690131262
144,f931e24827fc9f2fca9cb09d3acd43acd4aac8a3,GLC,GoldCoin,coin,Scrypt,18040386482.321,747.95717860268,3.3619183335595e-09,GLC,3.0,0.018443471537787,452.75821178746,1690131272
145,409023e21cec54e54eaf65b09b3bdcbd786ecbfa,GLINK,GemLink,coin,"Equihash(144,5)",18642.418324463,139.06716110937,0.028440057979537,GLINK,9.0,0.00559555,875.19,1690131274
147,3560564d01d111e0dba028fb03e055a6129189c0,GPN,Gamepass Network,coin,KAWPOW,16908500000.0,293.24197720758,2.8554988436872e-06,GPN,999.0,0.00019736384386367,,1690131274
148,90e618ec28b46ae7e480816f7a99043b0b84844e,GRFT,GRFT,coin,CNReverseWaltz,232.259906,7163216.0,0.11672629466988,GRFT,59693.0,8.713e-09,,1676241389
149,eb1e827932662553e3e6b2f1880311be02563960,GRIN,Grin,coin,cuckAToo32,173.09523809524,182892121.0,20.797799174691,GRIN,60.0,0.035419268508588,466767.73080528,1690131283
150,00e93757c7a135256d85e3e105d8e2bc82e4ea83,GRLC,Garlicoin,coin,Allium,1.5625,13.68295624,9.5715600311897e-08,GRLC,1434178383.5532,0.012371543529281,32.686442773929,1679746354
151,344a39923499a4acf6e0e3d7d7504294b65a7297,GRS,Groestlcoin,coin,Groestl,-1.0,488759.08867674,8.5746775515033e-12,GRS,5.0,0.36138722843387,1602505.0501474,1690131275
154,7169793f5ec20f1fb06369e526a7f74e8bee75cf,HAL,Halcyon,coin,NeoScrypt,34368753.122917,1.22,3.435206217844e-06,HAL,5.0,0.00209337,1.77,1690131268
170,38392139b319f75dce86919638827966f84347d2,HNS,Handshake,coin,Handshake,3995907790049700.0,513226170.77599,1.6331792197709e-12,HNS,1000.0,0.016583960668119,10775.30736251,1690131263
172,c895724e13740265bb55c0751f700efe83a4681e,HVQ,Hivecoin,coin,KAWPOW,4500.0,109.3724,3.4486364267335e-05,HVQ,8504999000.0,2.8622706239388e-05,,1672329988
173,1c1f3d3a7dcd925bac25cf583c59f083318fa0c6,INES,Inescoin,coin,SHA-256,535532206783490.0,489684993.0,1.7116928824362e-13,INES,100.0,7e-06,,1690131268
175,6593d42a1247d853491373d759289c900c00014a,IRD,Iridium,coin,CryptoNightTurtle,2956417.706375,558000000.0,1.1436025290323e-05,IRD,1.77258392,0.00896715,51.23,1690131262
176,8715091693702a8c2c2dd09f8c0b4b441553ff84,IRON,Iron Fish,coin,IronFish,1647564981604966.0,9.776386049709352e+16,7.3646846220992e-13,IRON,20.0,0.707084,302124.0,1690131268
177,01989d932ff0df1f388264e6abe31e7cf2d49521,IXI,IxiCash,coin,ChukwaIXI,21098089.0,1.8445826371947192e+19,0.013019875204907,IXI,2304.0,7.04e-05,801.79,1690131278
179,7ae4e0240e6cd4690300f55430f54ef5137062de,KAS,Kaspa,coin,KHeavyHash,2463554718741200.0,573591.03084103,2.8641206117011e-10,KAS,195.997718,0.038687637623754,25996551.182718,1690131262
180,7225e04fe6ea54e7832dc66046039795ca81ca5a,KAW,KAW,coin,KAWPOW,40.0,79.157886790316,4.2355366023059e-07,KAW,5580800000.0,0.0,,1669237239
181,eee72b496398bd8c37014d5e207302e00a5460b2,KCN,KCN,coin,SHA3d,7071711707810.4,110278.37929441,3.8003383914277e-14,KCN,0.005,0.0,,1690131273
182,13b6341aa98fad5b44e7cb2a178e8b59f20cbe52,KDA,Kadena,coin,Blake (2s-Kadena),4.7572256009773e+17,7.0029042518961e+17,5.2316816969302e-15,KDA,1.0176935,0.5914843207367,1543112.1757116,1690131283
183,ed3671c94eb82631a0137bd829b17081d25cf6e0,KMD,Komodo,coin,Equihash,114380824.43919,417650857.23741,1.6161824842521e-06,KMD,3.0,0.24530361202362,1150647.728473,1690131268
184,c7ab91ca7212ae7a3e99bf512c3713c650755290,KVA,KVA,coin,RandomKEVA,500.0,44350320.15810842,0.040585952786429,KVA,369586.0,4.943e-05,,1680430358
185,7726bb274b97e7335d69658779f43f57b07cf457,LAB,LAB,coin,KAWPOW,90.0,1509.683553247177,4.996883511223e-08,LAB,84074295600.0,0.0,,1668515072
186,a3af0e4740529c5a1f0c63bf4cf1cb542b2d8a9a,LBC,LBRY Credits,coin,LBRY,-1.0,1241860891823.93,9.3332322872748e-12,LBC,211.0,0.0087246663636303,114.48284597567,1690131268
187,1d98000d33fdd1332fc23999989be9faa4f50793,LCN,Lincoin,coin,SHA-256,1.671687384252e+16,3843495169.4367,4.0593633825009e-11,LCN,186140.82306042,2.4294411752698e-06,,1690131273
188,4e28b1997c46199402381788f2087cc7c37562ce,LOG,Woodcoin,coin,Skein2,0.51274767,749.695,5.7327330732797e-10,LOG,27186047846.798,0.109917,87.32,1681630588
189,9a837e14cafe2adb46de1c00bcbab97439ba9758,LTC,Litecoin,coin,Scrypt,762600000000000.0,27132612.35742665,3.8615444861712e-13,LTC,12.5,92.597934673394,394781538.4012,1690131268
191,44d53805be0a3cc152c1c76b9aaabf8e36e10cdb,LTZ,LitecoinZ,coin,Zhash,-1.0,147.51215223,0.14895488892156,LTZ,50.0,0.0021203809788536,15.895956452263,1690131268
210,a5b3816a8c1a257f30f3f8cb5f5b7511a53cf743,MEWC,MeowCoin,coin,KAWPOW,80243517318.0,1099.36820334,2.2872873199555e-06,MEWC,3000.0,0.00020027375397998,2838.7511314636,1690131264
215,e7225b337e63e6e61f748bc3ce36a5f7d9ab76ed,MINTME,MintMe.com Coin,coin,Webchain,1.0291719759252,15306878.0,5.6356494440386e-14,MINTME,1226512.6602564,0.008823969731017,95885.13462436,1685144542
218,ae3421eb83b4bc158e69ebf65bf73e42609a9981,MOAC,MOAC,coin,Ethash,25005137889.468,235048296161.0,3.0632002518615e-08,MOAC,2.0,0.073472,,1690131265
219,53a06a054767205da08563b0b57636bac56e5b95,MONA,MonaCoin,coin,Lyra2REv2,-1.0,2484397.25813449,2.1086359941267e-12,MONA,6.25,0.49771433135128,572636.92529966,1690131263
296,cea95c53a2aa1438f48520ab469d462daef4046b,MSR,MSR,coin,CryptoNightFastV2,-1.0,28878016.0,0.00011913169316083,MSR,0.955635261446,0.0,,1690131263
297,43c10eb19bddfac0cfdb2d4ec093581c044a1d52,MTNS,OmotenashiCoin,coin,Skein,43.5,365.90172515321,9.9647736782133e-08,MTNS,17288529613.031,0.00011856,1381.63,1673462911
298,2524a20b6ebcf783b685e0f77f88273a828e0aaf,MWC,MimbleWimbleCoin,coin,cuckARood29,0.15,6451065.0,0.015816657515354,MWC,-1.0,0.534815,57.78,1689435388
299,aaf99c273791a65e78859c54f5979cab8fc1f195,MWC,MimbleWimbleCoin,coin,cuckAToo31,0.1,9209116.0,0.0073864697917647,MWC,812.2960181451612,0.534815,57.78,1689502349
300,0370876fb003e5f6b6a069c91662b9dec0cd7c66,MZC,Maza,coin,SHA-256,323105500000000.0,20701439.4216,1.518357161676e-11,MZC,375.0005,0.00031367,28.21,1690131281
307,eecd2111ffe859aaf2df8fc51ce575a552e4b1cc,NEOX,NEOX,coin,KAWPOW,602177000000.0,7593.934897537,4.6909920824573e-07,NEOX,4250.0,0.000932,,1690131274
308,b0e99b8f2b5d20a0a4a1b265a19d8267571ff001,NEX,Nexa,coin,NexaPoW,10000000000000.0,287640.342,2.9140221129133e-05,NEX,10000000.0,6.36e-06,63131.0,1690131263
343,549635f6afc12e1c1d1bc8fbf71e816fe2cad563,NILU,NILU,coin,Ethash,2638000000.0,31657000000.0,2.2743784944878e-07,NILU,2.0,0.00038252,,1690131279
344,c489b28af3e91d361d713521e60e1fab37f2fb5a,NIM,Nimiq,coin,Argon2d-nim,-1.0,5235395.7,2.3936125426922e-05,NIM,2281.29156,0.00098143092159869,50838.585583591,1690131268
345,662aff88901045fc312477e2a68421cfc4fd1a2f,NMC,Namecoin,coin,SHA-256,1.6084190614255e+20,27189807392524.89,1.9269456776932e-19,NMC,6.250762,1.6220482344559,5324.6463992002,1690131269
346,9b90d62a2caf1f1387e90f931d5b3a1a63b7fbeb,NOVO,NOVO,coin,SHA256DT,9423065300000.0,341510.8456401021,2.4543592915267e-06,NOVO,1000000.0,0.0,,1690131289
347,b1ec1b4125f4c977b0a6c0185c3662d08204d097,NUKO,Nekonium,coin,Ethash,202328.4231875,556668214.0,4.8502859191454e-05,NUKO,7.5,0.00030317,,1690102113
348,2de0574e61849e93fd72fccfa2f8d933521c2d59,NXS,Nexus,coin,NEXUS,-1.0,587.232595,5.0573036313826e-10,NXS,1.627993,0.07159,1699.11,1690131273
349,0fc5ad2464eae351e06bccd7ef11832d2d0b7fcd,NYAN,Nyancoin,coin,Scrypt,0.65820312,416.06428093,1.3259957828423e-09,NYAN,26149510285.225,0.00018015487710705,0.00065480893182101,1674937108
350,98a9fe67b54a33e27c8d0a082a595f31ee6940ba,NYX,NaoYuanXiao,coin,NeoScrypt,38444200.0,5.6327726959111,4.3391826668154e-07,NYX,2.916,6.5515946885406e-07,,1690131289
351,f0300a03489b88664516e7ee0528ff0c55c79435,OBTC,Optical Bitcoin,coin,HeavyHash,432040555046.0,56676.0,2.1945091111203e-09,OBTC,50.0,0.03530331,123.46,1690131293
352,ba6c105185cd0238845fa92c04b740aaaa055fb7,OCTA,OCTA,coin,Ethash,2300000000000.0,30320000000000.0,3.3245382585752e-10,OCTA,2.8,0.0,,1690131273
353,772aa27f221ba564b579cfb35cf401f7b9331bf9,OMEGA,OMEGA,coin,X11,-1.0,31492.398096481,1.9783496189289e-11,OMEGA,0.74330343,0.0,,1690131284
354,3e14da22ae47b1e918a78ae65274bb8b5ada774d,PAPRY,Paprikacoin,coin,KAWPOW,8794500000.0,132.90891950344,2.2703405858897e-07,PAPRY,36.0,0.0023212823757721,,1690131278
357,0275fdee1795c5962b7288700cda3886812befbf,PEPEW,PEPE-POW,coin,Memehash,4078572412.537408,127.433,3.946498868365e-05,PEPEW,6000.0,3.7485729470848e-06,,1690131278
358,a990e44bf3b40a78167958de71eeb8054115d340,PGC,PGC,coin,Ethash,25946702.0,699950824.0,2.5716092306508e-05,PGC,5.0,0.00176916,,1690131273
359,ffd64bbabb968e77ea7b8015daafa8635448d1ce,PGN,PGN,coin,X21S,438.98036688,7.340100749980969,5.0128616142013e-05,PGN,-1.0,0.0,,1688352544
360,e5839f5561d217849456479f234b95ad33f53b54,PINK,PINK,coin,Ethash,1.0000378203712,292768019742.0,1.2296890065073e-08,PINK,23920078153.506,0.00561564,215.33,1669416513
361,c68a10d5c3f32b53483af60de52efefcb3cbafd4,PLSR,PLSR,coin,Curvehash,1042200000.0,57.636146267057,1.3088510150265e-06,PLSR,90.0,0.0,,1690131284
362,08a3d52cafb1593ea9752450c849b0f24d402c1d,PLUS1,PlusOneCoin,coin,HMQ1725,98258600.0,1165.2082718386,3.5967403313716e-08,PLUS1,50.0,0.011711011669109,4.6991078136337,1690131278
363,42a03696ed647bb37ad9a55cd10dd55f2b31da96,POM,Proof Of Memes,coin,Ethash,7.0000087169811,80318849481.0,3.1374990483514e-07,POM,6262351119.338,2.396047539752e-08,,1689070712
371,e48b6d5f287323243f35240e06ffd078cf94d146,PPC,Peercoin,coin,SHA-256,1.1141403312578e+16,5795274387.8474,5.2415149069312e-15,PPC,36.24,0.39735241192679,1946.1362126545,1690131283
372,0a59420fbc1a48dc7d405e670442be3440fd80bb,PRCO,ProcyonCoin,coin,KAWPOW,213745900.0,3.084130962178725,1.2107585276738e-05,PRCO,44.55,0.022388519075909,,1690131288
381,e85e27119710d0bcdbd6bf777d4e23d4a972334a,QIE,QIE,coin,Ethash,31672584085.615,411743593113.0,1.74866108919e-08,QIE,2.0,0.0,,1690131273
382,b3f05114783c2d16f0382c364e42b05b1b090ce7,QKC,QuarkChain,coin,Ethash,37523046189.0,387738143953.0,6.0319366058643e-09,QKC,1.94900992,0.0097422802461854,9601287.6254441,1690131286
383,f69631af354b162ea3a35db84203babc10f64e79,QRL,QRL,coin,RandomX,10031595.847458,591864155.0,1.0367215236408e-05,QRL,1.704439746,0.0,,1690131278
